geometry,severity,area_sqm,centroid_lat,centroid_lon
"POLYGON ((401904.3626693955 3487269.2259684554, 401904.3626693955 3487249.2259684554, 401864.3626693955 3487249.2259684554, 401864.3626693955 3487259.2259684554, 401834.3626693955 3487259.2259684554, 401834.3626693955 3487249.2259684554, 401854.3626693955 3487249.2259684554, 401854.3626693955 3487239.2259684554, 401844.3626693955 3487239.2259684554, 401844.3626693955 3487219.2259684554, 401864.3626693955 3487219.2259684554, 401864.3626693955 3487209.2259684554, 401854.3626693955 3487209.2259684554, 401854.3626693955 3487189.2259684554, 401844.3626693955 3487189.2259684554, 401844.3626693955 3487169.2259684554, 401854.3626693955 3487169.2259684554, 401854.3626693955 3487149.2259684554, 401864.3626693955 3487149.2259684554, 401864.3626693955 3487159.2259684554, 401934.3626693955 3487159.2259684554, 401934.3626693955 3487149.2259684554, 401944.3626693955 3487149.2259684554, 401944.3626693955 3487169.2259684554, 401964.3626693955 3487169.2259684554, 401964.3626693955 3487189.2259684554, 401974.3626693955 3487189.2259684554, 401974.3626693955 3487199.2259684554, 401964.3626693955 3487199.2259684554, 401964.3626693955 3487219.2259684554, 401984.3626693955 3487219.2259684554, 401984.3626693955 3487209.2259684554, 402034.3626693955 3487209.2259684554, 402034.3626693955 3487219.2259684554, 402004.3626693955 3487219.2259684554, 402004.3626693955 3487239.2259684554, 401984.3626693955 3487239.2259684554, 401984.3626693955 3487249.2259684554, 402014.3626693955 3487249.2259684554, 402014.3626693955 3487259.2259684554, 402004.3626693955 3487259.2259684554, 402004.3626693955 3487269.2259684554, 401984.3626693955 3487269.2259684554, 401984.3626693955 3487259.2259684554, 401974.3626693955 3487259.2259684554, 401974.3626693955 3487249.2259684554, 401964.3626693955 3487249.2259684554, 401964.3626693955 3487259.2259684554, 401944.3626693955 3487259.2259684554, 401944.3626693955 3487269.2259684554, 401924.3626693955 3487269.2259684554, 401924.3626693955 3487259.2259684554, 401914.3626693955 3487259.2259684554, 401914.3626693955 3487269.2259684554, 401904.3626693955 3487269.2259684554), (401904.3626693955 3487249.2259684554, 401914.3626693955 3487249.2259684554, 401914.3626693955 3487239.2259684554, 401904.3626693955 3487239.2259684554, 401904.3626693955 3487249.2259684554), (401974.3626693955 3487239.2259684554, 401984.3626693955 3487239.2259684554, 401984.3626693955 3487229.2259684554, 401974.3626693955 3487229.2259684554, 401974.3626693955 3487239.2259684554), (401894.3626693955 3487229.2259684554, 401904.3626693955 3487229.2259684554, 401904.3626693955 3487219.2259684554, 401914.3626693955 3487219.2259684554, 401914.3626693955 3487209.2259684554, 401904.3626693955 3487209.2259684554, 401904.3626693955 3487199.2259684554, 401894.3626693955 3487199.2259684554, 401894.3626693955 3487229.2259684554), (401934.3626693955 3487209.2259684554, 401944.3626693955 3487209.2259684554, 401944.3626693955 3487199.2259684554, 401934.3626693955 3487199.2259684554, 401934.3626693955 3487209.2259684554), (401904.3626693955 3487199.2259684554, 401914.3626693955 3487199.2259684554, 401914.3626693955 3487189.2259684554, 401904.3626693955 3487189.2259684554, 401904.3626693955 3487199.2259684554), (401874.3626693955 3487189.2259684554, 401884.3626693955 3487189.2259684554, 401884.3626693955 3487179.2259684554, 401874.3626693955 3487179.2259684554, 401874.3626693955 3487189.2259684554), (401914.3626693955 3487179.2259684554, 401924.3626693955 3487179.2259684554, 401924.3626693955 3487169.2259684554, 401914.3626693955 3487169.2259684554, 401914.3626693955 3487179.2259684554), (401934.3626693955 3487179.2259684554, 401944.3626693955 3487179.2259684554, 401944.3626693955 3487169.2259684554, 401934.3626693955 3487169.2259684554, 401934.3626693955 3487179.2259684554))",High,12500.0,31.51565551511506,73.9670537653682
"POLYGON ((402174.3626693955 3487289.2259684554, 402174.3626693955 3487279.2259684554, 402154.3626693955 3487279.2259684554, 402154.3626693955 3487249.2259684554, 402144.3626693955 3487249.2259684554, 402144.3626693955 3487239.2259684554, 402154.3626693955 3487239.2259684554, 402154.3626693955 3487229.2259684554, 402144.3626693955 3487229.2259684554, 402144.3626693955 3487209.2259684554, 402154.3626693955 3487209.2259684554, 402154.3626693955 3487199.2259684554, 402134.3626693955 3487199.2259684554, 402134.3626693955 3487179.2259684554, 402124.3626693955 3487179.2259684554, 402124.3626693955 3487159.2259684554, 402134.3626693955 3487159.2259684554, 402134.3626693955 3487169.2259684554, 402144.3626693955 3487169.2259684554, 402144.3626693955 3487159.2259684554, 402174.3626693955 3487159.2259684554, 402174.3626693955 3487149.2259684554, 402194.3626693955 3487149.2259684554, 402194.3626693955 3487159.2259684554, 402204.3626693955 3487159.2259684554, 402204.3626693955 3487169.2259684554, 402194.3626693955 3487169.2259684554, 402194.3626693955 3487229.2259684554, 402184.3626693955 3487229.2259684554, 402184.3626693955 3487289.2259684554, 402174.3626693955 3487289.2259684554))",High,5900.0,31.51562665177217,73.96965303568676
"POLYGON ((401764.3626693955 3487169.2259684554, 401764.3626693955 3487139.2259684554, 401774.3626693955 3487139.2259684554, 401774.3626693955 3487169.2259684554, 401764.3626693955 3487169.2259684554))",High,300.0,31.515103526275233,73.96546415283025
"POLYGON ((402224.3626693955 3487169.2259684554, 402224.3626693955 3487159.2259684554, 402214.3626693955 3487159.2259684554, 402214.3626693955 3487149.2259684554, 402204.3626693955 3487149.2259684554, 402204.3626693955 3487139.2259684554, 402224.3626693955 3487139.2259684554, 402224.3626693955 3487149.2259684554, 402234.3626693955 3487149.2259684554, 402234.3626693955 3487169.2259684554, 402224.3626693955 3487169.2259684554))",High,500.0,31.515123884664582,73.97022402435681
"POLYGON ((401294.3626693955 3487189.2259684554, 401294.3626693955 3487129.2259684554, 401304.3626693955 3487129.2259684554, 401304.3626693955 3487139.2259684554, 401314.3626693955 3487139.2259684554, 401314.3626693955 3487149.2259684554, 401304.3626693955 3487149.2259684554, 401304.3626693955 3487179.2259684554, 401314.3626693955 3487179.2259684554, 401314.3626693955 3487189.2259684554, 401294.3626693955 3487189.2259684554))",High,800.0,31.515120004222055,73.96054064578105
"POLYGON ((401724.3626693955 3487159.2259684554, 401724.3626693955 3487139.2259684554, 401734.3626693955 3487139.2259684554, 401734.3626693955 3487129.2259684554, 401744.3626693955 3487129.2259684554, 401744.3626693955 3487139.2259684554, 401754.3626693955 3487139.2259684554, 401754.3626693955 3487149.2259684554, 401744.3626693955 3487149.2259684554, 401744.3626693955 3487159.2259684554, 401724.3626693955 3487159.2259684554))",High,600.0,31.515025654086315,73.965131523786
"POLYGON ((402304.3626693955 3487159.2259684554, 402304.3626693955 3487149.2259684554, 402274.3626693955 3487149.2259684554, 402274.3626693955 3487139.2259684554, 402284.3626693955 3487139.2259684554, 402284.3626693955 3487129.2259684554, 402324.3626693955 3487129.2259684554, 402324.3626693955 3487149.2259684554, 402314.3626693955 3487149.2259684554, 402314.3626693955 3487159.2259684554, 402304.3626693955 3487159.2259684554))",High,1000.0,31.515031515890698,73.9710780629183
"POLYGON ((401994.3626693955 3487159.2259684554, 401994.3626693955 3487139.2259684554, 401984.3626693955 3487139.2259684554, 401984.3626693955 3487119.2259684554, 402004.3626693955 3487119.2259684554, 402004.3626693955 3487129.2259684554, 402014.3626693955 3487129.2259684554, 402014.3626693955 3487119.2259684554, 402024.3626693955 3487119.2259684554, 402024.3626693955 3487129.2259684554, 402034.3626693955 3487129.2259684554, 402034.3626693955 3487119.2259684554, 402074.3626693955 3487119.2259684554, 402074.3626693955 3487109.2259684554, 402084.3626693955 3487109.2259684554, 402084.3626693955 3487119.2259684554, 402094.3626693955 3487119.2259684554, 402094.3626693955 3487109.2259684554, 402104.3626693955 3487109.2259684554, 402104.3626693955 3487139.2259684554, 402094.3626693955 3487139.2259684554, 402094.3626693955 3487149.2259684554, 402074.3626693955 3487149.2259684554, 402074.3626693955 3487159.2259684554, 402054.3626693955 3487159.2259684554, 402054.3626693955 3487139.2259684554, 402044.3626693955 3487139.2259684554, 402044.3626693955 3487159.2259684554, 401994.3626693955 3487159.2259684554))",High,4000.0,31.514966892786713,73.96837489295915
"POLYGON ((402244.3626693955 3487159.2259684554, 402244.3626693955 3487139.2259684554, 402234.3626693955 3487139.2259684554, 402234.3626693955 3487129.2259684554, 402244.3626693955 3487129.2259684554, 402244.3626693955 3487109.2259684554, 402254.3626693955 3487109.2259684554, 402254.3626693955 3487119.2259684554, 402264.3626693955 3487119.2259684554, 402264.3626693955 3487139.2259684554, 402254.3626693955 3487139.2259684554, 402254.3626693955 3487159.2259684554, 402244.3626693955 3487159.2259684554))",High,800.0,31.51495270861608,73.9705339383979
"POLYGON ((403464.3626693955 3487119.2259684554, 403464.3626693955 3487099.2259684554, 403474.3626693955 3487099.2259684554, 403474.3626693955 3487119.2259684554, 403464.3626693955 3487119.2259684554))",High,200.0,31.51484108536515,73.98337002244082
"POLYGON ((402894.3626693955 3487099.2259684554, 402894.3626693955 3487089.2259684554, 402914.3626693955 3487089.2259684554, 402914.3626693955 3487099.2259684554, 402894.3626693955 3487099.2259684554))",High,200.0,31.514658352823588,73.97742190015593
"POLYGON ((402384.3626693955 3487089.2259684554, 402384.3626693955 3487069.2259684554, 402394.3626693955 3487069.2259684554, 402394.3626693955 3487089.2259684554, 402384.3626693955 3487089.2259684554))",High,200.0,31.514479576044018,73.97200031866299
"POLYGON ((403154.3626693955 3487119.2259684554, 403154.3626693955 3487059.2259684554, 403194.3626693955 3487059.2259684554, 403194.3626693955 3487089.2259684554, 403184.3626693955 3487089.2259684554, 403184.3626693955 3487119.2259684554, 403154.3626693955 3487119.2259684554))",High,2100.0,31.51461643054879,73.98024319904263
